Node,Transport
068_Q1,Transported
068_Q2,Transported
068_Q3,Local/Regional
195_Q1,Local/Regional
1AH_Q1,Local/Regional
1DH_Q1,Transported
1GDGem,Local/Regional
1TN_Q1,Local/Regional
202_Q1,Transported
388_Q1,Local/Regional
563_Q1,Local/Regional
585_Q2,Local/Regional
587_Q1,Local/Regional
600_Q1,Local/Regional
ABC_Q1,Local/Regional
ALC_Q1,Local/Regional
ALC_Q3,Local/Regional
ATTO_Q1,Local/Regional
AZW_Q1,Local/Regional
BAR_Q1,Local/Regional
BECRAA,Local/Regional
BECRKO,Local/Regional
BECRWE,Local/Regional
BGA_Q1,Local/Regional
BHC_Q1,Local/Regional
BJG_Q1,Local/Regional
BOUX_Q1,Local/Regional
BSN_Q1,Local/Regional
C4A_Q1,Transported
C4CRH_Q1,Local/Regional
C5A_Q1,Local/Regional
CAO_Q1,Local/Regional
CUY_Q1,Local/Regional
DAAH_Q1,Local/Regional
DAMP_Q1,Local/Regional
DEU_Q1,Local/Regional
DIF_Q1,Local/Regional
DMN1_Q1,Ship
DMN1_Q3,Ship
ELT_Q1,Transported
EMP_Q1,Local/Regional
F1B_Q1,Local/Regional
FLEV1_Q1,Local/Regional
FLEV1_Q2,Unclear
FLOR_Q1,Local/Regional
FLOR_Q2,Unclear
GENP_Q1,Local/Regional
HOK_Q1,Local/Regional
HOL_AAHO,Local/Regional
HOL_GKZB,Local/Regional
HOL_KBMB,Local/Regional
HOL_KMBQ,Local/Regional
HOL_KORB,Local/Regional
HOL_KORH,Possibly transported
HOL_LKBB,Local/Regional
HOL_LKSB,Local/Regional
HOL_MB253,Local/Regional
HOL_MBRU,Local/Regional
HOL_MBUF,Local/Regional
HOL_MRBR,Local/Regional
HOL_PALZ,Local/Regional
HOL_TATE,Possibly transported
HOL_TITE,Local/Regional
HOL_TMB11,Local/Regional
HOL_TMB12,Local/Regional
HOL_TRMB32,Local/Regional
HOL_TRPB,Local/Regional
HOL_TRRB,Local/Regional
HOL_TRRS,Local/Regional
HOL_WEDW,Local/Regional
HORB1_Q1,Local/Regional
HORB2_Q1,Local/Regional
HORB3_Q1,Local/Regional
HRW_Q1,Local/Regional
IALP_Q1,Transported
IJS_Q1,Local/Regional
ILLA_Q1,Local/Regional
IWRD_Q1,Local/Regional
LANG_Q1,Local/Regional
LRC_Q1,Local/Regional
MAP_Q1,Transported
MAV_Q1,Local/Regional
MEK_Q1,Local/Regional
METZ_Q3,Local/Regional
MMB_Q1,Transported
NEW_Q1,Local/Regional
NOVY_Q1,Local/Regional
NOVY_Q2,Possibly transported
NWH_Q1,Local/Regional
OFBG_Q1,Unclear
OSH_Q1,Local/Regional
OSND_Q1,Local/Regional
POM3_Q1,Ship
POM4_Q1,Ship
RAT_Q1,Local/Regional
SAND_Q1,Local/Regional
SARR2_Q1,Local/Regional
SARR2_Q2,Local/Regional
SARR6_Q1,Local/Regional
SAUL_Q1,Local/Regional
SILL_Q2,Unclear
SPR_Q1,Local/Regional
STF_Q1,Local/Regional
SWP_Q1,Local/Regional
TROY_Q1,Local/Regional
VALK_Q1,Transported
VALK_Q2,Transported
VDM2W_Q1,Transported
VDMLR_Q1,Transported
VDMLR_Q2,Transported
VDMM_Q1,Local/Regional
VDMWL_Q1,Transported
VDMWL_Q2,Local/Regional
VDMWL_Q3,Transported
VEL_Q1,Local/Regional
VEL_Q2,Local/Regional
VEN_Q1,Local/Regional
VEND_Q1,Local/Regional
VEND_Q3,Local/Regional
VFH_Q1,Transported
VFH_Q2,Transported
VIGN_Q1,Local/Regional
VIGO_Q1,Local/Regional
VNW_Q1,Transported
VOW_Q1,Local/Regional
VRIG_Q1,Local/Regional
VRW_Q1,Transported
VZS_Q1,Local/Regional
WARC_Q1,Local/Regional
ZLF_Q1,Local/Regional
